Date,Open,High,Low,Vol(K),Change %,diff_between_low_and_high,diff_between_low_and_open,diff_between_high_and_open,MA_diff_between_low_and_high_3,MA_diff_between_low_and_high_5,MA_diff_between_low_and_high_7,MA_diff_between_low_and_high_10,MA_diff_between_low_and_open_3,MA_diff_between_low_and_open_5,MA_diff_between_low_and_open_7,MA_diff_between_low_and_open_10,MA_diff_between_high_and_open_3,MA_diff_between_high_and_open_5,MA_diff_between_high_and_open_7,MA_diff_between_high_and_open_10,MA_Change %_3,MA_Change %_5,MA_Change %_7,MA_Change %_10,BCHAIN-MKPRU,BCHAIN-TRVOU,BCHAIN-DIFF,BCHAIN-MWNUS,BCHAIN-AVBLS,BCHAIN-BLCHS,BCHAIN-ATRCT,BCHAIN-MIREV,BCHAIN-HRATE,BCHAIN-CPTRA,BCHAIN-CPTRV,BCHAIN-ETRVU,BCHAIN-ETRAV,BCHAIN-TOUTV,BCHAIN-NTRBL,BCHAIN-NADDU,BCHAIN-NTREP,BCHAIN-NTRAT,BCHAIN-NTRAN,BCHAIN-TRFUS,BCHAIN-TRFEE,BCHAIN-MKTCP,BCHAIN-TOTBC,BCHAIN-MWNTD,BCHAIN-MWTRV,Price
2019-01-01,3709.5,3814.3,3664.4,469.11,2.69,149.9000000000001,45.09999999999991,104.80000000000018,155.29999999999987,200.86000000000013,203.95714285714303,218.06999999999758,75.69999999999982,82.85999999999986,104.19999999999989,114.07999999999984,79.60000000000007,118.00000000000009,99.75714285714288,103.98999999999997,2.7933333333333685,4.009999999999955,3.76142857142854,3.544999999999989,3752.27166667,255956548.177,5618595848850.0,31920413.0,0.8017789463087241,198101.21908,6.409722222222223,7012103.64869832,41615985.2734,29.835057157620202,3.1439644222000003,223626548.673,59597.6433849,549766.653485,1575.3355704698001,310119.0,227739.0,369240247.0,234725.0,41541.14869832,11.22870449,65505657848.0,17457600.0,35743.0,6621.00091742,3873.8
2019-01-02,3809.7,3894.8,3768.1,554.47,1.69,126.70000000000027,41.59999999999991,85.10000000000036,145.80000000000004,159.24000000000015,198.9714285714288,217.4899999999976,80.99999999999984,86.85999999999986,98.35714285714273,112.2699999999998,64.80000000000018,72.38000000000011,100.6142857142858,105.22000000000003,2.3833333333333684,2.8159999999999554,3.8842857142856837,3.6639999999999886,3855.88,241928399.1936,5618595848853.0,31955907.0,0.947860662252,197366.976629,7.66666666666667,7368988.35595,42174589.102546506,27.1221819826,1.50766807919,488767286.225,126389.915254,985716.7433730641,1799.31125828,415821.0,261327.0,369717721.0,271696.0,69764.7517789,18.0404076,67518253391.6,17459487.5,50735.0,14734.29297428,3780.1
2019-01-03,3874.1,3875.8,3753.0,450.32,2.42,122.80000000000018,121.09999999999991,1.7000000000002728,133.13333333333352,143.0800000000002,179.114285714286,203.13999999999766,69.26666666666658,77.95999999999985,82.4285714285713,124.1199999999998,63.86666666666694,65.12000000000016,96.68571428571444,79.02000000000007,2.2666666666667017,2.497999999999956,3.451428571428541,3.6989999999999887,3865.7975,252710143.659,5618595848850.0,31969197.0,0.966222341935,197516.741092,6.56666666666667,7564081.637239999,43291796.7609,25.991978575900003,1.30974366354496,586335098.6275411,152925.79042141,940397.964094,1877.52258065,450626.0,280535.0,370008737.0,291016.0,74098.98099400001,19.1678382,66916312312.5,17460225.0,54495.0,16864.5809588,3802.7
2019-01-04,3780.5,3823.9,3720.0,488.7,0.6,103.90000000000009,60.5,43.40000000000009,117.80000000000018,132.82000000000025,146.1285714285717,178.10999999999768,74.39999999999993,84.91999999999989,87.98571428571417,95.2599999999998,43.40000000000024,47.90000000000018,58.142857142857274,82.8500000000001,1.5700000000000351,2.033999999999956,2.4428571428571124,3.103999999999989,3822.62666667,203230963.078,5618595848850.0,31983139.0,0.9591987583892622,198514.023883,5.4666666666666694,7115351.21898818,41615985.2734,25.2521585501334,1.33032827672,540805337.78,141474.798598,972455.82288,1891.08724832215,454701.0,271427.0,370039173.0,281772.0,74019.968988175,19.57925017,66755628485.2,17463287.5,56309.0,14285.9897498,3785.4
2019-01-05,3802.8,3846.7,3769.0,468.45,0.46,77.69999999999982,33.80000000000018,43.899999999999636,101.4666666666667,116.20000000000027,128.1428571428574,169.71999999999767,71.80000000000003,60.41999999999998,69.15714285714277,90.38999999999983,29.666666666666668,55.78000000000011,58.985714285714366,79.33000000000007,1.1600000000000352,1.571999999999956,1.9357142857142555,3.066999999999989,3856.62,293647134.8172,5618595848853.0,32124379.0,0.812945822086,197792.171876,4.36666666666667,7929513.785019998,45526212.0775833,29.9010293863,2.47926775273,319832893.251,82676.4706494,762435.0960745809,1626.94478528,385488.0,256504.0,370555701.0,265192.0,47470.5037694,12.27107591,67564391445.9,17465325.0,50060.0,12490.9865494,4004.1
2019-01-06,3785.7,4034.1,3758.5,529.89,5.78,275.5999999999999,27.199999999999818,248.4000000000001,152.39999999999995,141.34000000000023,145.3428571428574,171.0999999999977,40.5,56.83999999999996,69.3714285714285,69.84999999999982,111.89999999999993,84.50000000000009,75.97142857142866,101.25000000000009,2.2800000000000353,2.189999999999956,2.3442857142856846,3.099999999999989,3920.45666667,182621668.132,5618595848850.0,32136516.0,0.826675390071,197908.733106,5.07777777777778,6974865.18403,39381569.9567,26.9797741934,2.4305360431017102,295057199.362848,76252.19816891,691139.0369760001,1833.4893617,389294.0,250546.0,370814223.0,258522.0,65060.3090346,16.59508434,66369897500.0,17465762.5,46766.0,12106.4010748,3985.9
2019-01-07,4004.3,4028.0,3945.5,500.88,0.45,82.5,58.80000000000018,23.699999999999818,145.26666666666657,132.50000000000017,134.15714285714316,145.86999999999767,39.933333333333394,60.280000000000015,55.44285714285713,73.56999999999985,105.33333333333319,72.21999999999998,78.71428571428578,72.30000000000004,2.2300000000000355,1.9419999999999562,2.0128571428571127,2.378999999999989,4036.09333333,278935705.87,5618595848850.0,32178353.0,0.9847527446808508,198906.032513,5.78888888888889,7286414.81783128,39381569.9567,25.165486004805107,1.16148623751,620754635.6769999,153800.86247,984689.39845,2019.7304964539,448075.0,274098.0,370844663.0,284782.0,96377.3178312849,23.87585077,70505909026.0,17468850.0,60430.0,20973.0072335,3971.0
2019-01-08,3985.8,4070.5,3943.1,514.08,0.37,127.40000000000009,42.70000000000027,84.69999999999982,161.83333333333334,133.42000000000016,130.94285714285746,138.24999999999767,42.90000000000009,44.600000000000094,55.10000000000004,61.27999999999988,118.93333333333324,88.8199999999999,75.84285714285716,76.97000000000003,2.2000000000000357,1.531999999999956,1.6814285714285415,2.014999999999989,4032.25,314915700.8125,5618595848853.0,32188996.0,0.86793,198194.263413,6.5,8610282.07595,47202023.5651017,27.0318157374,1.45931042208,590024024.0630001,146195.545693,907272.319909191,1884.75739645,465084.0,307496.0,371417529.0,318524.0,84538.38844610001,20.94683492,70510271360.4,17470962.5,60454.0,19466.0861484,3978.0
2019-01-09,3971.0,4014.2,3957.5,473.42,0.17,56.69999999999982,13.5,43.19999999999982,88.86666666666663,123.9800000000001,120.94285714285739,128.39999999999768,38.333333333333485,35.20000000000009,51.08571428571434,60.0599999999999,50.533333333333154,88.77999999999983,69.85714285714279,68.34,0.3300000000000356,1.445999999999956,1.4642857142856844,1.739999999999989,4034.13833333,340650855.444,5618595848850.0,32218090.0,0.884137810976,198339.262014,6.725,8367487.847539999,45805513.9922,26.225765531900002,1.35125790099297,630379615.777342,157273.13975154,945619.489824,1945.46341463,463346.0,308372.0,371736585.0,319056.0,97504.26420489998,24.16978699,70304762700.0,17471362.5,60639.0,18471.571336700006,3603.7
2019-01-10,3978.9,4007.7,3562.1,697.31,9.41,445.5999999999999,416.8000000000002,28.799999999999727,209.89999999999995,197.56000000000012,167.05714285714308,156.8799999999977,157.66666666666683,111.8000000000001,93.32857142857152,86.10999999999994,52.23333333333312,85.75999999999985,73.72857142857129,70.76999999999998,3.3166666666667024,3.235999999999956,2.462857142857113,2.4039999999999893,3812.58583333,413021289.116,5618595848850.0,32237325.0,0.970871820512821,199335.417225,6.95,7609635.02307813,43571098.6755,23.0764227799724,1.12217150441,671294824.365,176073.366925,1165194.94224,2098.3205128205104,489565.0,314279.0,371764711.0,327338.0,99192.10594305287,25.84515048,66624794465.5,17474962.5,60527.0,17840.8458416,3616.5
2019-01-11,3603.3,3655.7,3563.1,551.64,0.35,92.59999999999991,40.20000000000027,52.399999999999636,198.29999999999987,160.96000000000012,165.44285714285732,151.14999999999768,156.83333333333348,114.40000000000018,90.42857142857156,85.61999999999998,41.46666666666639,46.55999999999976,75.0142857142855,65.52999999999993,3.310000000000036,2.149999999999956,2.427142857142827,2.1699999999999893,3646.25,465176834.075,5618595848853.0,32262119.0,0.983164702703,198636.226394,7.175,6853670.72486,41336683.3587873,22.2253340928,0.629056731794,1089515520.38,297947.560347,1202241.87199114,2083.59459459,486649.0,297061.0,372372295.0,308372.0,88709.4331979,24.25918558,63908086521.2,17476812.5,60044.0,23199.25491447,3597.2
