,Date,BCHAIN-MKPRU,BCHAIN-TRVOU,BCHAIN-DIFF,BCHAIN-MWNUS,BCHAIN-AVBLS,BCHAIN-BLCHS,BCHAIN-ATRCT,BCHAIN-MIREV,BCHAIN-HRATE,BCHAIN-CPTRA
0,2021-10-21,66063.56,650092516.4596,,,,,,,,
1,2021-10-20,64287.64,594456878.1812,20082460130831.0,77814069.0,1.1791386644295303,370416.66037600004,7.1416666666666675,61742492.20717987,148747371.68155453,211.5823908022599
2,2021-10-19,61971.59,753842251.6688,20082460130831.0,77781139.0,1.3027479612903223,370214.94495,8.05,61804734.85684274,154737198.72913387,198.080671169108
3,2021-10-18,61546.21,271015042.9624,19917361849675.434,77745372.0,1.2126506283783791,370035.149167,7.449999999999998,58173901.82332595,146534419.32302314,203.85572952582612
4,2021-10-17,60948.78,263628462.4998,19893045048575.0,77719946.0,0.9033513624999998,369890.901353,4.658333333333333,61555796.55805045,158222181.29904512,285.13498773896254
5,2021-10-16,61641.17,825023911.6309999,19893045048575.0,77694910.0,1.2955334060150374,369718.63514699996,9.5,51917022.70940908,131522188.20483124,192.24824370643088
6,2021-10-15,57397.74,339375043.3206,19893045048575.0,77657675.0,1.2966171914893625,369535.590688,8.2,54670343.84247817,139433297.2697835,181.09838891513297
7,2021-10-14,57406.69,471270462.4177,19893045048575.0,77619197.0,1.3397736496350359,369352.105396,8.25,51775839.05997654,135477742.7373074,179.19979738888767
8,2021-10-13,56242.94,516916488.0932001,19893045048575.0,77565819.0,1.107308355029586,369165.13113,6.2666666666666675,60196305.44825861,167122178.99711636,208.3522734921521
9,2021-10-12,57452.01,350997309.894,19893045048575.0,77526791.0,1.3126619999999998,368989.244349,8.304166666666667,48626582.2756845,132511076.83795026,177.3689419331564
10,2021-10-11,54625.74,294613549.79940003,19893045048575.0,77470031.0,1.2660677123287671,368804.230653,8.304166666666667,52898159.49896313,144377740.43537864,188.79793099878341
11,2021-10-10,55122.59,168430381.1004,19893045048575.0,77419701.0,0.8816028679245281,368664.01139400003,4.566666666666666,55625852.15177321,157233292.66592607,262.9989321899767
12,2021-10-09,53867.3,375062388.383,19893045048575.0,77385297.0,1.2898361066666668,368470.584267,7.75,52134455.43562771,148333294.9678548,211.76598237787917
13,2021-10-08,53801.1,402001281.189,19893045048575.0,77334784.0,1.4604280583333338,368295.529342,11.241666666666667,41966394.78213781,118666635.97428384,149.86499486529138
14,2021-10-07,55343.76,869275029.8808,19893045048575.0,77305998.0,1.4300953475177307,368093.778088,11.716666666666667,49405388.0081029,139433297.2697835,151.60840201949492
15,2021-10-06,51505.83,437607953.3124,19893045048575.0,77272645.0,1.1967025877862592,367937.17217,9.633333333333333,43942894.69732487,129544410.93859321,164.11973414401126
16,2021-10-05,49143.95,370887916.3315,19893045048575.0,77247971.0,1.2747055792682929,367728.11690100003,6.658333333333332,52076953.33832859,162177735.83152118,166.62598896239368
17,2021-10-04,48205.72,183312373.5012,19009120698769.46,77211165.0,1.167222923076923,367545.888898,5.995833333333334,47639372.8347704,147411968.39584854,177.127671301037
18,2021-10-03,47727.1,184243787.75599998,18997641161759.0,77182970.0,0.9103214000000006,367409.34273800004,5.958333333333332,45436120.54418755,141656679.6716985,208.3155468025031
19,2021-10-02,48140.11,688291406.5437,18997641161759.0,77162858.0,0.9429064361702132,367232.11423400004,4.466666666666667,56739068.27785237,177543038.52186212,218.25992467274844
20,2021-10-01,43757.81,360342502.3033,18997641161759.0,77138085.0,1.2370014428571432,367058.789746,8.600000000000001,40884975.737541296,132212901.0269186,147.57681412039076
21,2021-09-30,41522.38,221224597.0592,18997641161759.0,77118414.0,1.2539551754385967,366844.687105,6.5,46789306.0477054,161488614.82573634,159.65014313008112
22,2021-09-29,41011.16,275833680.1512,18997641161759.0,77068146.0,1.1511185461538471,366694.91960900003,7.470833333333332,34503900.23399902,122769122.38213871,142.58340282902682
23,2021-09-28,42238.2,249740960.376,18997641161759.0,77024898.0,1.1844019605263156,366514.63965900004,5.841666666666668,40399023.48810387,143545435.4006545,154.02308681966616
24,2021-09-27,43182.63,231309916.7265,18997641161759.0,76987636.0,1.0518184322580642,366351.290098,5.916666666666668,43218816.609998696,146378568.99408844,167.7911932835046
25,2021-09-26,42742.01,132297206.4525,18997641161759.0,76952225.0,0.9146582446043168,366224.605392,5.9,38084247.824875385,131268523.16244064,194.72863656519917
26,2021-09-25,42815.56,594658890.506,18997641161759.0,76915829.0,0.8404593402777775,366102.66966799996,5.129166666666666,38679199.26482163,135990412.4848306,181.95554164328647
27,2021-09-24,44888.96,369977052.768,18997641161759.0,76860790.0,1.205603175675676,365925.22266100004,6.666666666666668,40572791.52640917,139767923.94274256,146.17401879346878
28,2021-09-23,43604.76,355516148.994,18997641161759.0,76830089.0,1.0165784606060606,365757.39188899996,6.675,46022168.07568965,155822347.63886842,171.2841540803295
29,2021-09-22,40619.27,726831468.7551999,18997641161759.0,76800690.0,1.2345030895522386,365591.903795,9.283333333333333,36087715.34087247,126546633.84005068,131.11601119360716
30,2021-09-21,42901.56,605141090.3304,18632996500113.82,76781174.0,1.220175536585366,365441.59850100003,10.016666666666667,33328734.03651063,113928907.4435182,136.27593976526214
31,2021-09-20,47249.38,135623202.8706,18415156832118.0,76758412.0,1.2143390670731709,365242.689427,6.775,46493150.40505981,150129275.46902633,172.04838197059502
32,2021-09-19,48259.45,171820050.213,18415156832118.0,76741922.0,0.7703830312499999,365119.504514,4.370833333333334,48131991.96049828,146467585.8234403,240.0406549128164
